GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000102331	0	0	0	0	0	0	0	10	25	16	0	0
ENSMUSG00000025902	314	512	675	516	1	1809	331	28	84	237	127	111
ENSMUSG00000103922	34	34	33	29	59	44	33	44	42	33	32	48
ENSMUSG00000033845	1653	1908	742	1578	2864	2272	1034	1963	2734	2092	2391	1914
ENSMUSG00000025903	674	2154	1477	1977	2059	561	1307	1430	1856	974	1767	1806
ENSMUSG00000033813	1507	2790	2032	2133	2498	968	1444	1778	2149	1843	2005	2534
ENSMUSG00000062588	5	14	15	13	12	5	3	3	15	8	7	8
ENSMUSG00000103280	74	67	60	42	0	0	121	45	88	123	56	37
ENSMUSG00000002459	3431	4115	3385	3148	5537	2084	2792	3689	5387	4351	5110	4633
ENSMUSG00000091305	2	13	0	21	0	0	23	12	43	19	15	28
ENSMUSG00000102653	1	117	189	161	24	311	165	198	233	398	270	204
ENSMUSG00000085623	179	2	90	74	116	140	25	34	115	51	50	23
ENSMUSG00000033793	4362	5033	3439	4802	7751	3169	3544	4479	6050	4906	5136	6109
ENSMUSG00000025907	600	1426	413	827	1558	368	1480	1044	916	1109	1078	2165
ENSMUSG00000090031	93	163	0	474	133	4	260	136	201	249	259	366
ENSMUSG00000051285	590	2719	659	1982	2550	1125	1836	1394	1754	1261	1230	2403
ENSMUSG00000103509	50	2	0	66	0	0	1	17	20	0	4	31
ENSMUSG00000025909	0	58	0	12	0	0	11	12	10	25	0	17
ENSMUSG00000103411	14	22	0	8	0	0	0	0	28	2	48	35
ENSMUSG00000061024	2375	2311	2889	1878	3404	1745	1725	1583	2745	2376	2420	2383
ENSMUSG00000025911	9560	15066	11745	14020	19652	7907	10813	11430	15703	13845	13445	16557
ENSMUSG00000079671	8	33	39	37	0	0	23	33	51	26	6	35
ENSMUSG00000067879	343	198	0	219	228	57	54	1	0	57	0	25
ENSMUSG00000045210	513	1172	843	880	1517	164	1387	833	920	774	726	1699
ENSMUSG00000097893	0	55	0	3	45	0	3	21	30	22	0	24
ENSMUSG00000025915	305	1214	568	818	449	658	901	616	673	771	1084	1054
ENSMUSG00000098234	252	108	127	158	195	283	121	142	262	166	255	219
ENSMUSG00000099032	212	97	0	45	0	50	37	0	69	76	22	161
ENSMUSG00000025916	135	122	0	176	122	87	22	47	92	166	252	202
ENSMUSG00000025917	2941	2903	2226	2528	3474	3520	1804	3049	4518	2976	3023	3831
ENSMUSG00000056763	1356	961	1132	1147	2037	1310	1306	1047	1516	945	1443	1838
ENSMUSG00000067851	582	1081	0	1302	1327	1066	818	589	995	854	836	1291
ENSMUSG00000048960	7615	9443	4749	9565	12475	5586	8247	6882	12522	6895	8028	10485
ENSMUSG00000016918	41	311	1826	1055	392	0	142	54	233	201	155	119
ENSMUSG00000005886	520	971	140	1008	1058	1307	1455	772	1131	978	1073	1334
ENSMUSG00000102664	0	16	0	17	0	0	9	26	45	56	20	53
ENSMUSG00000025935	2998	5766	5020	4195	4801	1442	3582	3859	4293	3776	4654	5390
ENSMUSG00000025937	413	1011	1133	936	1764	667	839	879	1678	871	1078	1541
ENSMUSG00000102982	16	8	0	4	0	0	8	0	20	10	24	55
ENSMUSG00000025932	2156	2964	475	2931	5345	317	2823	3192	3798	2472	3035	4192
ENSMUSG00000025930	84	55	0	54	0	0	23	16	60	41	12	0
ENSMUSG00000025925	911	505	844	391	1111	800	437	574	412	744	442	905
ENSMUSG00000032719	67	53	0	58	55	0	45	13	35	0	0	14
ENSMUSG00000067795	0	25	0	31	0	2	20	0	3	16	31	26
ENSMUSG00000043716	2855	1974	2494	2339	3352	2837	1186	2623	3784	2134	2494	2428
ENSMUSG00000025921	2110	3031	2354	2364	2467	1229	1910	1568	1950	2021	1895	2906
ENSMUSG00000025920	46	844	386	754	283	482	439	672	1034	483	524	758
ENSMUSG00000025939	1150	2154	823	1952	2299	828	1091	1178	1798	978	1248	1662
ENSMUSG00000079658	2275	3994	3796	3188	4395	2924	1535	2213	3294	1956	3307	2903
ENSMUSG00000025940	2704	3791	2189	3306	4836	1904	1670	2840	3864	2421	3186	3339
ENSMUSG00000025779	276	205	81	189	19	131	169	139	332	105	174	211
ENSMUSG00000025777	128	167	0	214	29	0	102	131	161	59	119	180
ENSMUSG00000041859	442	912	204	607	279	480	597	302	463	419	782	541
ENSMUSG00000099714	0	0	0	0	0	0	0	0	17	29	23	14
ENSMUSG00000097934	192	274	0	185	326	65	231	98	379	416	323	266
ENSMUSG00000025931	10353	21344	6959	14778	24010	6792	17968	15025	21069	14418	14285	20651
ENSMUSG00000100929	19	0	0	4	0	3	13	14	29	5	0	19
ENSMUSG00000041809	618	192	273	214	399	32	262	52	186	259	170	362
ENSMUSG00000041779	59	215	259	147	164	200	102	92	123	116	142	240
ENSMUSG00000100819	23	44	39	47	6	80	35	49	54	30	57	47
ENSMUSG00000025933	1687	1724	1334	1705	2991	2270	920	1273	1759	1206	1607	1516
ENSMUSG00000025934	146	50	288	67	166	0	95	98	75	86	87	210
ENSMUSG00000099343	6	20	16	0	53	42	9	25	4	13	0	5
ENSMUSG00000082935	19	8	3	15	15	18	6	12	16	9	13	14
ENSMUSG00000026158	1161	1380	1823	1190	1843	888	890	1175	1537	1060	1419	1230
ENSMUSG00000026156	385	221	4	75	41	34	286	112	222	219	187	220
ENSMUSG00000026155	1078	1311	852	1156	1982	1059	990	1017	1497	1063	1483	1250
ENSMUSG00000026154	1085	910	1116	815	1490	961	382	684	1301	685	1049	717
ENSMUSG00000026153	853	1907	723	1304	1588	669	1345	1151	1752	1611	1659	2205
ENSMUSG00000026147	130	30	0	30	0	0	0	75	12	167	187	106
ENSMUSG00000100131	50	26	74	21	108	50	12	28	40	27	27	21
ENSMUSG00000101111	177	130	170	115	469	210	87	202	342	127	137	172
ENSMUSG00000100862	167	110	219	99	360	249	63	117	186	94	97	113
ENSMUSG00000102070	68	53	77	44	127	114	30	64	117	53	56	51
ENSMUSG00000101249	217	108	222	122	411	350	39	127	183	107	129	88
ENSMUSG00000073725	6663	13118	4335	9661	13313	8729	8913	9065	10463	8162	9502	12309
ENSMUSG00000033569	729	2086	1869	1489	2108	1675	2344	1650	1924	1903	1414	2143
ENSMUSG00000104257	0	0	0	24	12	366	38	16	124	45	49	19
ENSMUSG00000104027	48	0	17	30	24	0	7	39	75	20	54	10
ENSMUSG00000102250	74	66	3	60	1	0	22	35	173	74	38	39
ENSMUSG00000102317	0	0	0	8	111	0	0	1	70	1	23	25
ENSMUSG00000103563	146	10	0	32	17	55	108	12	268	60	159	23
ENSMUSG00000102465	7	55	0	69	51	48	76	81	157	99	156	20
ENSMUSG00000103924	20	32	95	88	26	0	11	15	24	28	10	39
ENSMUSG00000102747	1	8	0	27	0	0	3	20	28	11	16	15
ENSMUSG00000102386	168	25	0	69	38	1	64	90	99	47	74	44
ENSMUSG00000104516	89	61	0	40	0	110	61	54	27	72	48	53
ENSMUSG00000086240	10	23	27	5	28	10	5	16	36	12	17	20
ENSMUSG00000048874	654	840	612	1112	1591	749	887	766	1119	512	833	1422
ENSMUSG00000026064	70	30	0	34	59	0	114	33	18	34	12	77
ENSMUSG00000026058	0	79	157	54	0	11	75	31	18	25	0	5
ENSMUSG00000026134	267	394	13	263	269	513	125	348	459	494	281	324
ENSMUSG00000004768	339	609	342	857	645	1536	717	687	933	557	642	1026
ENSMUSG00000042215	662	440	0	779	831	12	359	353	664	437	278	765
ENSMUSG00000042197	980	782	98	720	1664	74	985	965	1265	904	327	1625
ENSMUSG00000042182	121	81	0	227	0	0	135	54	48	116	22	59
ENSMUSG00000026131	5912	3931	3975	4234	3238	3797	4591	4374	5739	4895	5270	5351
ENSMUSG00000103364	137	73	87	55	13	87	67	54	99	51	84	49
ENSMUSG00000042111	1076	981	2015	879	1243	725	480	619	787	984	941	808
ENSMUSG00000026127	2619	2031	2042	2498	2266	1174	1701	1328	2265	2084	2131	2693
ENSMUSG00000026126	108	24	0	24	0	105	5	0	4	16	4	7
ENSMUSG00000037509	1055	3178	1228	2996	3582	2512	4827	2108	2638	3109	2167	4694
ENSMUSG00000104002	56	75	0	74	30	243	65	34	50	23	59	25
ENSMUSG00000037503	3250	5320	3227	4905	4100	2641	5401	3968	4864	4364	4482	5595
ENSMUSG00000104358	1	0	0	7	54	0	0	5	72	32	5	52
ENSMUSG00000026123	2477	10967	2056	8145	6203	3608	4548	4300	4668	4403	3131	6880
ENSMUSG00000045216	500	1873	800	725	1087	389	1149	639	1467	874	487	1030
ENSMUSG00000037470	1725	1104	1856	1013	1830	703	2043	1009	1295	1522	1253	1564
ENSMUSG00000047180	331	427	0	158	0	54	107	15	0	62	0	40
ENSMUSG00000037447	3205	5527	2677	3114	5055	4289	3312	2546	3558	3817	3493	4318
ENSMUSG00000010453	2822	2904	947	2118	3647	3240	3846	1688	3433	3480	2783	3131
ENSMUSG00000037432	118	47	115	82	0	39	164	92	30	126	99	80
ENSMUSG00000001143	2119	2260	1634	2455	2286	1879	1859	1772	2428	2416	2140	2312
ENSMUSG00000037408	150	271	194	133	114	91	197	194	242	205	193	218
ENSMUSG00000001138	1832	4415	2776	2642	2501	581	2772	2750	3056	3869	3486	4573
ENSMUSG00000067653	127	74	118	60	29	44	140	64	126	121	106	71
ENSMUSG00000079610	1119	797	985	710	870	327	882	538	758	871	703	901
ENSMUSG00000026121	110	94	31	72	133	190	166	175	134	218	129	162
ENSMUSG00000061518	4389	4315	3725	3235	8379	6339	1863	2843	5691	3155	4328	3275
ENSMUSG00000037351	3393	4658	2186	3492	5081	3304	3116	2948	3704	4124	3138	4093
ENSMUSG00000026117	120	34	58	30	0	4	14	0	33	1	3	20
ENSMUSG00000026116	569	1232	251	902	2047	721	1627	765	986	1207	763	1291
