GeneName_Symbol	log2FoldChange
RP23-122M2.3	0.0073
Sox17	-0.048
RP23-34E15.4	3e-04
Mrpl15	0.0837
Lypla1	0.0087
Tcea1	0.0138
Gm6104	-0.0082
RP24-426M1.4	0.0045
Rgs20	0.2119
Gm17100	0.0121
RP24-141F9.2	0.0214
Gm16041	-0.0221
Atp6v1h	0.0893
Rb1cc1	0.0486
4732440D04Rik	0.0107
Pcmtd1	-0.0081
WI1-817D1.2	-0.0017
Sntg1	9e-04
RP24-361E12.1	0.0082
Rrs1	-0.0425
Adhfe1	0.0483
2610203C22Rik	0.0058
3110035E14Rik	-0.0211
Vcpip1	0.0034
1700034P13Rik	0.0031
Sgk3	0.0244
Snhg6	0.0136
Tcf24	-0.0013
Ppp1r42	0.0164
Cops5	0.1062
Cspp1	-0.0171
Arfgef1	2e-04
Prex2	0.0208
Sulf1	-0.0302
Ncoa2	0.0112
RP23-125I14.1	0.0209
Tram1	0.016
Lactb2	0.0462
RP23-70F22.2	0.0122
Eya1	0.0409
Msc	-0.0021
Terf1	-0.0429
Sbspon	-0.0105
4930444P10Rik	0.0021
Rpl7	0.0145
Rdh10	-0.067
Stau2	0.0359
Ube2w	-0.0334
Tceb1	-0.0799
Tmem70	0.021
Ly96	0.0104
Gdap1	0.0072
Mcm3	-0.0104
Gm20587	0.0099
6720483E21Rik	0.0206
Paqr8	0.0479
Gm28064	0.0063
Efhc1	-0.0305
Tram2	-0.0293
Gm2693	0.0057
Tmem14a	-0.1145
Gsta3	-0.0048
Gm28836	-0.0101
Gm7658	6e-04
Ogfrl1	-0.0286
B3gat2	0.0076
Smap1	0.0056
1110058L19Rik	-0.0368
Fam135a	0.1698
Col9a1	0.0141
Gm28439	-0.0337
Gm28437	-0.0023
Gm10925	-0.0522
Gm28661	-0.0133
Gm29216	-0.0478
Lmbrd1	0.0191
Bai3	-0.0106
RP23-21P2.4	-0.0056
RP23-21P2.5	0.0142
RP23-478K4.2	0.0158
RP23-478K4.1	0.0025
RP23-478K4.3	0.0128
RP23-184I13.2	0.0274
RP23-184I13.4	-0.0151
RP23-184I13.6	0.0133
RP23-184I13.7	0.0068
RP23-184I13.1	-0.0016
Gm7846	0.0092
Phf3	-0.0112
